T	B07KOD2 Rho_mr
2.511402224448897584e+02	3.382874721631041748e+00
2.517322821643286375e+02	3.389782277716558934e+00
2.523243418837675165e+02	3.396744623186723544e+00
2.529164016032063955e+02	3.403645438066607909e+00
2.535084613226452745e+02	3.410531616162539859e+00
2.541005210420841536e+02	3.417297766753446542e+00
2.546925807615230326e+02	3.424106603688527262e+00
2.552846404809619116e+02	3.431266141505224798e+00
2.558767002004007907e+02	3.438547675709295426e+00
2.564687599198396697e+02	3.445952405775420058e+00
2.570608196392785203e+02	3.453795327421016026e+00
2.576528793587174277e+02	3.460820914169374873e+00
2.582449390781562784e+02	3.467979137682490887e+00
2.588369987975951858e+02	3.475410714757533270e+00
2.594290585170340364e+02	3.482570964313951301e+00
2.600211182364729439e+02	3.489809862257660988e+00
2.606131779559117945e+02	3.497763217338919262e+00
2.612052376753507019e+02	3.505211747363282448e+00
2.617972973947895525e+02	3.512241911985642950e+00
2.623893571142284600e+02	3.519232853545108064e+00
2.629814168336673106e+02	3.526315191863812704e+00
2.635734765531062180e+02	3.533315450982354111e+00
2.641655362725450686e+02	3.540562722501388038e+00
2.647575959919839761e+02	3.547716055451818562e+00
2.653496557114228267e+02	3.555053488459505751e+00
2.659417154308617341e+02	3.562228693108571154e+00
2.665337751503005848e+02	3.569414333318650989e+00
2.671258348697394922e+02	3.576756846828214265e+00
2.677178945891783428e+02	3.583958473764876196e+00
2.683099543086172503e+02	3.591416290694858571e+00
2.689020140280561009e+02	3.598029771736270366e+00
2.694940737474949515e+02	3.605455266453678753e+00
2.700861334669338589e+02	3.613577564501705197e+00
2.706781931863727095e+02	3.620480052655803860e+00
2.712702529058116170e+02	3.627430995405897640e+00
2.718623126252504676e+02	3.634374298464168707e+00
2.724543723446893750e+02	3.641170024885804324e+00
2.730464320641282256e+02	3.647420205495397916e+00
2.736384917835671331e+02	3.655792176688292816e+00
2.742305515030059837e+02	3.662697692223046975e+00
2.748226112224448912e+02	3.669836178100279955e+00
2.754146709418837418e+02	3.677040974721298205e+00
2.760067306613226492e+02	3.683870581981109282e+00
2.765987903807614998e+02	3.691224888427401929e+00
2.771908501002004073e+02	3.697654492734268494e+00
2.777829098196392579e+02	3.705615973357571757e+00
2.783749695390781653e+02	3.712812794962160989e+00
2.789670292585170159e+02	3.720345752272612216e+00
2.795590889779559234e+02	3.728123469984642391e+00
2.801511486973947740e+02	3.735917094476973510e+00
2.807432084168336814e+02	3.742961626473199299e+00
2.813352681362725320e+02	3.749418946589892609e+00
2.819273278557113827e+02	3.756399687596926995e+00
2.825193875751502901e+02	3.763434438934436077e+00
2.831114472945891407e+02	3.769816706098379377e+00
2.837035070140280482e+02	3.777034810094021200e+00
2.842955667334668988e+02	3.784341203126147413e+00
2.848876264529058062e+02	3.791614989392340540e+00
2.854796861723446568e+02	3.799126096266650876e+00
2.860717458917835643e+02	3.806208198755037575e+00
2.866638056112224149e+02	3.815162884105407493e+00
2.872558653306613223e+02	3.822435233427206480e+00
2.878479250501001729e+02	3.830160899186876744e+00
2.884399847695390804e+02	3.837474856801493139e+00
2.890320444889779310e+02	3.844934590948177355e+00
2.896241042084168384e+02	3.851316859804604142e+00
2.902161639278556891e+02	3.859435245729766262e+00
2.908082236472945965e+02	3.866120060478812182e+00
2.914002833667334471e+02	3.873369606110464325e+00
2.919923430861723546e+02	3.880920215623417491e+00
2.925844028056112052e+02	3.886155908419318017e+00
2.931764625250501126e+02	3.893144166965358810e+00
2.937685222444889632e+02	3.900644801818281771e+00
2.943605819639278138e+02	3.908861656608098922e+00
2.949526416833667213e+02	3.916268749882325650e+00
2.955447014028055719e+02	3.923750060983985044e+00
2.961367611222444793e+02	3.930169752045762799e+00
2.967288208416833299e+02	3.937686010071502096e+00
2.973208805611222374e+02	3.944879916112141949e+00
2.979129402805610880e+02	3.952058883213506402e+00
2.985049999999999955e+02	3.958118846536277324e+00
