T	B30KOD3 Rho_mr	Err
2.455144999999999982e+02	1.578647956350606729e-01	7.490177502629893902e-02
2.465144999999999982e+02	1.584804161643074416e-01	7.519386719414240805e-02
2.475144999999999982e+02	1.590811605092428971e-01	7.547890109034238737e-02
2.485144999999999982e+02	1.597125485323872829e-01	7.577847442759985674e-02
2.495144999999999982e+02	1.603432307413339142e-01	7.607771287869070920e-02
2.505144999999999982e+02	1.609649647710306719e-01	7.637270570613650944e-02
2.515144999999999982e+02	1.615594473398801745e-01	7.665476859070741167e-02
2.525144999999999982e+02	1.621413293737614947e-01	7.693085292615593762e-02
2.535144999999999982e+02	1.627594308748880614e-01	7.722412223546937238e-02
2.545144999999999982e+02	1.633736767990445204e-01	7.751556219734881403e-02
2.555144999999999982e+02	1.639749128411152890e-01	7.780082938804656900e-02
2.565144999999999982e+02	1.646183600336599273e-01	7.810612441385268723e-02
2.575144999999999982e+02	1.652368195027426601e-01	7.839956356746362320e-02
2.585144999999999982e+02	1.658616312762185852e-01	7.869601668547776541e-02
2.595144999999999982e+02	1.664772002193327938e-01	7.898808437735826971e-02
2.605144999999999982e+02	1.670970138653224968e-01	7.928216604441637450e-02
2.615144999999999982e+02	1.676929897250196699e-01	7.956493744753108388e-02
2.625144999999999982e+02	1.682892396778497834e-01	7.984783889903369902e-02
2.635144999999999982e+02	1.689331426585955476e-01	8.015335018170166581e-02
2.645144999999999982e+02	1.695059629631640585e-01	8.042513501764742001e-02
2.655144999999999982e+02	1.701848346263470924e-01	8.074723781696319103e-02
2.665144999999999982e+02	1.708306237411439110e-01	8.105364400965711646e-02
2.675144999999999982e+02	1.714568642224520156e-01	8.135077500364855385e-02
2.685144999999999982e+02	1.720727161896112856e-01	8.164297698134791170e-02
2.695144999999999982e+02	1.726965093613734292e-01	8.193894680556557120e-02
2.705144999999999982e+02	1.732811229443104728e-01	8.221632717330569495e-02
2.715144999999999982e+02	1.739010372189552511e-01	8.251045658542854877e-02
2.725144999999999982e+02	1.745249335106816291e-01	8.280647533675709882e-02
2.735144999999999982e+02	1.751372509588405568e-01	8.309700029871697202e-02
2.745144999999999982e+02	1.757549839463611596e-01	8.339009476016076561e-02
2.755144999999999982e+02	1.763784505876924147e-01	8.368590965617690725e-02
2.765144999999999982e+02	1.770081208719020971e-01	8.398466798148236656e-02
2.775144999999999982e+02	1.776586957300687053e-01	8.429334485569064950e-02
2.785144999999999982e+02	1.782774574988463256e-01	8.458692744079721049e-02
2.795144999999999982e+02	1.789123221368657812e-01	8.488815032014652984e-02
2.805144999999999982e+02	1.795144061619479425e-01	8.517381985154659496e-02
2.815144999999999982e+02	1.801177479819673077e-01	8.546008616624486964e-02
2.825144999999999982e+02	1.807419524876437700e-01	8.575625115519314168e-02
2.835144999999999982e+02	1.813469758763183448e-01	8.604331532020757789e-02
2.845144999999999982e+02	1.819619296072097214e-01	8.633509111364850996e-02
2.855144999999999982e+02	1.825927511604549247e-01	8.663439567913339134e-02
2.865144999999999982e+02	1.832276520991341084e-01	8.693563578197981145e-02
2.875144999999999982e+02	1.838674728412823534e-01	8.723921017355176777e-02
2.885144999999999982e+02	1.845169492263633582e-01	8.754736585756311973e-02
2.895144999999999982e+02	1.851475237207850510e-01	8.784655320157158664e-02
2.905144999999999982e+02	1.857484042799910362e-01	8.813165172706785566e-02
2.915144999999999982e+02	1.863547915027123636e-01	8.841936298753211299e-02
2.925144999999999982e+02	1.869603523092375486e-01	8.870668214005517083e-02
2.935144999999999982e+02	1.875617525502863425e-01	8.899202723789405300e-02
2.945144999999999982e+02	1.881861935974235012e-01	8.928830445816790529e-02
2.955144999999999982e+02	1.888225489868692875e-01	8.959023465118715057e-02
2.965144999999999982e+02	1.894374957119719094e-01	8.988200712060633035e-02
2.975144999999999982e+02	1.900491263339988968e-01	9.017220620562695077e-02
2.985144999999999982e+02	1.906879775633035512e-01	9.047532059449468755e-02
2.995144999999999982e+02	1.911880308822912766e-01	9.071257983300506922e-02
